Q&A Names,Frequency,Percentage
Stack Overflow,101,79.5
Yahoo! Answers,11,8.7
Ask Ubuntu,9,7.1
Freecode,6,4.7
Ask Different,5,3.9
Quora,5,3.9
Mathematics,4,3.1
Brainly,4,3.1
Server Fault,3,2.4
Database Administrators,3,2.4
Wordpress,3,2.4
Super User,2,1.6
Unix,2,1.6
Code Review,2,1.6
Photography,2,1.6
Arqade,2,1.6
Stack Exchange,2,1.6
Game Development,1,0.8
Academia,1,0.8
Baidu Knows,1,0.8
Chinese Massive Open Online Course (MOOC),1,0.8
SAP Community Network,1,0.8
Law,1,0.8
Cooking community,1,0.8
Amazon,1,0.8
Physics,1,0.8
Software Engineering,1,0.8
Self-generated Q&A,1,0.8
No Explicit Q&A Site,1,0.8
Zhihu,1,0.8
